"NOME" "ETA" "PESO" "ALTEZZA" "SESSO"
Giocatore212 73 79 170 2
Giocatore213 70 120 183 2
Giocatore214 49 80 179 2
Giocatore215 72 65 156 1
Giocatore216 60 78 162 2
Giocatore217 81 70 162 1
Giocatore218 81 70 160 1
Giocatore219 36 67 170 2
Giocatore220 83 92 186 2
Giocatore221 60 75 160 2
Giocatore222 78 50 165 2
Giocatore223 54 73 184 2
Giocatore224 51 58 165 1
Giocatore225 54 90 170 2
Giocatore226 75 78 165 2
Giocatore227 76 20 150 2
Giocatore228 70 75 173 2
Giocatore229 94 65 150 1
Giocatore230 83 70 160 1
Giocatore231 36 60 162 1
Giocatore232 65 74 170 2
Giocatore233 48 85 183 2
Giocatore234 56 78 170 2
Giocatore235 54 85 175 2
Giocatore236 55 92 178 2
Giocatore237 80 70 160 2
Giocatore238 56 88 175 2
Giocatore239 71 60 170 2
Giocatore240 71 90 171 2
Giocatore241 71 59 170 2
Giocatore242 58 68 169 2
Giocatore243 66 85 180 2
Giocatore244 77 50 150 2
Giocatore245 68 85 175 2
Giocatore246 84 57 165 1
Giocatore247 66 73 156 1
Giocatore248 71 70 160 1
Giocatore249 55 65 158 2
Giocatore250 84 54 152 1
Giocatore251 64 24 174 2
Giocatore252 76 71 166 2
Giocatore253 32 85 180 2
Giocatore254 89 67 162 1
Giocatore255 63 70 170 2
Giocatore256 48 66 172 2
Giocatore257 92 68 170 2
Giocatore258 84 56 170 2
Giocatore259 80 70 170 2
Giocatore260 78 74 173 2
Giocatore261 86 62 165 1
Giocatore262 70 58 170 2
Giocatore263 90 50 160 1
Giocatore264 69 82 167 1
Giocatore265 67 51 158 2
Giocatore266 57 63 170 2
Giocatore267 54 88 178 2
Giocatore268 76 79 165 2
Giocatore269 61 85 160 2
Giocatore270 56 90 186 2
Giocatore271 49 70 165 2
Giocatore272 76 80 162 2
Giocatore273 43 87 178 2
Giocatore274 63 75 168 2
Giocatore275 54 72 185 2
Giocatore276 59 67 172 2
Giocatore277 59 87 156 1
Giocatore278 85 66 160 1
Giocatore279 48 80 178 2
Giocatore280 70 58 173 2
Giocatore281 76 75 170 2
Giocatore282 63 66 150 1
Giocatore283 69 48 160 1
Giocatore284 79 60 155 1
Giocatore285 68 75 170 2
Giocatore286 75 63 168 2
Giocatore287 83 80 160 1
Giocatore288 81 70 162 1
Giocatore289 66 67 160 2
Giocatore290 63 54 155 1
Giocatore291 62 80 155 1
Giocatore292 45 100 180 2
Giocatore293 64 82 160 1
Giocatore294 73 67 160 1
Giocatore295 46 95 175 2
Giocatore296 79 64 167 2
Giocatore297 56 68 165 2
Giocatore298 68 50 160 2
Giocatore299 55 97 185 2
Giocatore300 74 80 174 2
Giocatore301 79 48 164 2
Giocatore302 87 53 159 1
Giocatore303 69 70 166 2
Giocatore304 80 74 155 1
Giocatore305 78 68 173 2
Giocatore306 87 72 168 2
Giocatore307 56 135 192 2
Giocatore308 56 92 182 2
Giocatore309 71 70 165 1
Giocatore310 88 70 155 1
Giocatore311 73 60 160 1
Giocatore312 70 62 160 2
Giocatore313 66 62 157 2
Giocatore314 89 60 160 1
Giocatore315 62 73 169 2
Giocatore316 78 80 172 2
Giocatore317 71 66 165 2
Giocatore318 64 90 175 2
Giocatore319 88 50 160 1
Giocatore320 67 65 167 2
Giocatore321 69 90 175 1
Giocatore322 98 70 170 2
Giocatore323 51 76 176 2
Giocatore324 86 52 160 1
Giocatore325 44 120 187 2
Giocatore326 60 100 179 2
Giocatore327 67 83 178 2
Giocatore328 86 73 160 1
Giocatore329 68 68 159 1
Giocatore330 50 90 172 2
Giocatore331 80 60 165 1
Giocatore332 64 62 160 1
Giocatore333 56 95 178 2
Giocatore334 63 75 173 2
Giocatore335 48 82 178 2
Giocatore336 63 65 160 2
Giocatore337 76 90 175 2
Giocatore338 68 85 175 2
Giocatore339 70 68 168 2
Giocatore340 45 81 174 2
Giocatore341 84 95 176 2
Giocatore342 60 89 175 2
Giocatore343 60 73 165 2
Giocatore344 44 80 185 2
Giocatore345 72 82 170 2
Giocatore346 68 65 167 2
Giocatore347 56 115 178 2
Giocatore348 59 65 166 2
Giocatore349 53 80 175 2
Giocatore350 50 78 175 2
Giocatore351 63 70 170 2
Giocatore352 60 85 170 2
Giocatore353 52 95 178 2
Giocatore354 70 83 165 2
Giocatore355 74 62 165 2
Giocatore356 90 60 150 1
Giocatore357 51 85 170 2
Giocatore358 82 84 178 2
Giocatore359 87 70 165 1
Giocatore360 69 68 168 2
Giocatore361 74 60 168 2
Giocatore362 88 66 156 1
Giocatore363 54 92 170 2
Giocatore364 57 65 170 2
Giocatore365 44 87 180 2
Giocatore366 82 64 174 2
Giocatore367 61 70 167 2
Giocatore368 74 74 171 2
Giocatore369 68 73 172 2
Giocatore370 72 72 168 2
Giocatore371 50 110 185 2
Giocatore372 72 103 176 2
Giocatore373 57 86 167 2
Giocatore374 55 70 171 2
Giocatore375 63 70 173 2
Giocatore376 60 70 172 2
Giocatore377 51 84 179 2
Giocatore378 73 50 155 1
Giocatore379 78 68 170 2
Giocatore380 67 64 164 2
Giocatore381 79 73 163 1
Giocatore382 44 66 168 2
Giocatore383 60 90 165 2
Giocatore384 88 67 150 1
Giocatore385 60 83 160 1
Giocatore386 57 62 158 1
Giocatore387 58 67 170 2
Giocatore388 55 88 175 2
Giocatore389 81 74 170 2
Giocatore390 59 124 170 2
Giocatore391 45 83 180 2
Giocatore392 67 82 170 2
Giocatore393 42 72 178 2
Giocatore394 54 108 172 2
Giocatore395 83 84 170 2
Giocatore396 59 100 189 2
Giocatore397 46 66 168 1
Giocatore398 58 87 166 2
Giocatore399 48 67 160 2
Giocatore400 67 107 180 2
Giocatore401 56 89 165 2
Giocatore402 49 104 178 2
Giocatore403 50 75 160 1
Giocatore404 55 115 178 2
Giocatore405 65 80 167 2
Giocatore406 84 80 170 2
Giocatore407 72 86 160 1
Giocatore408 51 72 150 1
Giocatore409 65 70 170 2
Giocatore410 40 80 170 2
Giocatore411 66 70 165 1
Giocatore412 56 90 181 2
Giocatore413 54 70 168 2
Giocatore414 55 63 150 2
Giocatore415 41 67 165 2
Giocatore416 61 56 154 2
Giocatore417 84 91 165 1
Giocatore418 64 60 161 2
Giocatore419 48 95 170 2
Giocatore420 47 80 175 2
Giocatore421 100 50 150 1
Giocatore422 51 88 167 2
Giocatore423 58 62 162 2
Giocatore424 79 60 162 1
Giocatore425 35 65 160 2
Giocatore426 70 85 178 2
Giocatore427 71 60 160 1
Giocatore428 39 68 173 2
Giocatore429 64 62 160 2
Giocatore430 48 95 180 2
Giocatore431 39 101 186 2
Giocatore432 54 72 180 2
Giocatore433 64 85 170 2
Giocatore434 43 98 167 1
